SYMBOL,IONIC_RADIUS,MOD_OF_ELASTICITY,BP,MP,DENSITY,AT_WT,BCC_EFF_LAT_CNT,BCC_ENERGY,BCC_ENERGY_DIFF,BCC_FERMI,BCC_MAG_MOM,BCC_VOLUME_PA,BCC_VOLUME_DIFF,GS_BANDGAP,GS_EFF_LAT_CNT,GS_ENERGY,GS_MAG_MOM,GS_VOLUME_PA,HH_IP,HH_IR,ICSD_VOLUME,COV_RAD,ION_ERGY,ATOM_RAD,ELECT_AFF,AT_RAD,AT_VOL,MEN_NUM,N_WS_THIRD,1_ION_POT,2_ION_POT,3_ION_POT,CTE,SP_HEAT_CAP,THERMAL_COND,CONDUCTIVITY,HEAT_OF_FUSION,HEAT_OF_VAP,ELECTRONEGATIVITY,AT_NUM,PERIOD,GRP,VALENCE,IS_HEXAGONAL,IS_BCC,IS_CUBIC,IS_FCC,IS_ORTHO,IS_RHOMBO,IS_MONO,IS_TETRA,IS_ALKALI,IS_ALKALI_EARTH,IS_BORON,IS_CARBON,IS_CHALCOGEN,IS_HALOGEN,IS_HYDROGEN,IS_NOBLE_GAS,IS_PINICTIDE,IS_RARE_EARCH,IS_TRANS_METAL,S_ORBITAL,P_ORBITAL,D_ORBITAL,F-ORBITAL,STABLE_OXIDATION_STATE,IS_D_BLOCK,IS_F_BLOCK,IS_METAL,IS_METALLOID,IS_NONMETAL,ND_UNFILLED,ND_VALENCE,NF_UNFILLED,NF_VALENCE,NP_UNFILLED,NP_VALENCE,NS_UNFILLED,NS_VALENCE,N_UNFILLED
Na,1.02,5.0,1156.0,371.0,0.97,22.98977,7.76039534599691,-1.2544847,0.00575668333,1.31524918,0.0,29.21,-0.0333333332999999,0.0,7.76334617914118,-1.26024138333,0.0,29.2433333333,110.0,50.0,39.7,1.54,495.8,1.9,52.7,2.23,23.7,2.0,0.82,5.139,47.286,71.641,71.0,1.23,141.0,20.1,2.601,98.01,0.93,11,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Mg,0.72,44.4,1380.0,922.0,1.74,24.305,7.15361122939302,-1.51367083,0.0286014800000001,4.0864554,0.0,22.88,-0.0100000000000016,0.0,7.15465327037344,-1.54227231,0.0,22.89,530.0,50.0,23.4,1.36,737.7,1.6,-230.0,1.72,13.97,68.0,1.17,7.646,15.035,80.143,24.8,1.02,156.0,22.4,8.95,127.6,1.31,12,3,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Al,0.54,70.5,2740.0,933.5,2.7,26.98154,6.46904413001313,-3.65018713,0.0952359899999999,7.76407342,0.0,16.92,0.440000000000001,0.0,6.41247566510125,-3.74542312,0.0,16.48,1.6,1.0,16.6,1.18,577.6,1.43,45.0,1.62,10.0,73.0,1.39,5.986,18.828,28.447,23.1,0.9,237.0,37.7,10.7,290.8,1.61,13,3,13,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,5,1,0,2,5
Si,0.26,162.0,2630.0,1683.0,2.33,28.0855,6.1601326783139,-4.90201039,0.522907615,9.91441468,0.0,14.61,-5.83,0.773,6.88969967718387,-5.424918005,0.0,20.44,470.0,100.0,20.0,1.11,786.4,1.32,133.6,1.44,12.1,78.0,1.5,8.151,16.345,33.492,2.6,0.7,148.0,0.0004,50.2,359.0,1.9,14,3,14,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,4,2,0,2,4
P,0.17,5.0,553.0,317.3,1.82,30.97376,6.09622627827544,-4.6830362,0.7174728425,10.06787517,0.0,14.16,-8.4102380952,1.625,7.12118127259094,-5.4005090425,0.0,22.5702380952,200.0,510.0,18.9,1.06,1011.7,1.28,71.7,1.23,17.0,83.0,1.65,10.486,19.725,30.18,127.0,0.769,0.235,1E-16,0.63,12.4,2.19,15,3,15,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,3,3,0,2,3
S,0.29,19.0,717.82,392.2,2.07,32.066,6.29893321989283,-3.00278915,1.09442756875,7.76558603,0.0,15.62,-10.166875,2.202,7.44456910923797,-4.09721671875,0.0,25.786875,70.0,100.0,25.7,1.02,999.58,1.27,200.42,1.09,15.5,88.0,,10.36,23.33,34.83,70.0,0.71,0.269,5E-16,1.73,10.0,2.58,16,3,16,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,2,4,0,2,2
Cl,1.81,,239.18,172.17,3.214,35.4527,6.90091705237582,-0.9545457,0.829888055,2.21271389,0.0,20.54,-3.9575,2.493,7.31836247921715,-1.784433755,0.0,24.4975,150.0,100.0,29.0,0.99,1251.1,0.99,348.8,0.97,16.9,94.0,,12.967,23.81,39.611,0.0,0.48,0.0089,0.0,3.21,10.2,3.16,17,3,17,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,5,0,2,1
Ar,0.0,3.0,87.45,83.95,1.784,39.948,9.04960266053603,-1.02553085,-1.08407189,1.07931739,0.0,46.32,17.78,9.26,7.7006015159482,0.05854104,0.0,28.54,,,36.3,0.98,1520.5,0.98,-35.0,0.88,23.9,100.0,,15.759,27.629,40.74,618.0,0.52,0.0177,0.0,1.188,6.506,0.0,18,3,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0
K,1.51,2.4,1033.0,336.8,0.86,39.0983,10.4878165565084,-1.096516,0.0010237133299999,-0.05407911,0.0,72.1,-1.0066666667,0.0,10.5364017480964,-1.09753971333,0.0,73.1066666667,170.0,720.0,75.6,2.03,418.8,2.35,48.36,2.77,45.46,3.0,0.65,4.341,31.625,45.72,82.0,0.757,102.5,16.4,2.33,76.9,0.82,19,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Ca,1.0,21.0,1757.0,1112.0,1.55,40.078,8.3830345410422,-1.92725921,0.0210703550000002,2.89542357,0.0,36.82,-0.950000000000003,0.0,8.45452064866223,-1.948329565,0.0,37.77,390.0,150.0,44.1,1.74,589.8,1.97,-156.0,2.23,25.9,7.0,0.91,6.113,11.871,50.908,22.3,0.647,200.0,31.3,8.53,154.67,1.0,20,4,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Sc,0.75,80.0,3109.0,1814.0,2.99,44.9559,7.08202821013824,-6.17209116,0.11342193,4.45180104,0.0,22.2,-0.0350000000000001,0.0,7.08574804255262,-6.28551309,6.35E-06,22.235,550.0,450.0,24.9,1.44,631.0,1.606,18.1,2.09,15.0,11.0,1.27,6.54,12.8,24.76,10.0,0.568,15.8,1.5,16.11,304.8,1.36,21,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,9,1,0,0,0,0,0,2,9
Ti,0.61,110.0,3560.0,1935.0,4.54,47.88,6.45883252009245,-7.66126811,0.11395901,2.97615095,0.0,16.84,0.149999999999999,0.0,6.43959824146465,-7.77522712,2.25333333333E-05,16.69,110.0,160.0,17.6,1.32,658.0,1.448,20.0,2.0,10.64,43.0,1.52,6.82,13.58,27.491,8.6,0.523,21.9,2.6,18.6,425.2,1.54,22,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,8,2,0,0,0,0,0,2,8
V,0.54,129.0,3650.0,2163.0,6.11,50.9415,5.92651097618832,-8.93926069,0.0,6.45502198,0.0,13.01,0.0,0.0,5.92651097618832,-8.93926069,0.0,13.01,330.0,340.0,13.8,1.22,650.0,1.321,50.0,1.92,8.78,46.0,1.64,6.74,14.65,29.31,8.4,0.489,30.7,4.0,22.8,446.7,1.63,23,4,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,1,0,0,7,3,0,0,0,0,0,2,7
Cr,0.62,259.0,2945.0,2130.0,7.19,51.996,5.63280069969244,-9.50480758,0.0009089600000002,7.97704267,0.0,11.17,-0.0199999999999996,0.0,5.6361605577511,-9.50571654,0.0,11.19,310.0,410.0,12.0,1.18,652.8,1.249,64.0,1.85,7.23,49.0,1.73,6.766,16.5,30.96,4.9,0.449,93.7,7.9,20.0,339.5,1.66,24,4,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,5,5,0,0,0,0,1,1,6
Mn,0.67,198.0,2235.0,1518.0,7.44,54.938,5.51959949485148,-8.87041076,0.15015449034,7.57494268,0.8185729,10.51,0.0224137931000001,0.0,5.51567297372692,-9.02056525034,0.000310120689655,10.4875862069,160.0,180.0,12.2,1.17,717.4,1.24,0.0,1.79,7.39,52.0,1.61,7.435,15.64,33.667,21.7,0.48,7.82,0.5,14.64,219.74,1.55,25,4,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,5,5,0,0,0,0,0,2,5
Fe,0.55,211.0,3023.0,1808.0,7.874,55.847,5.55784675864371,-8.28548436,0.0,6.45149343,2.1106628,10.73,0.0,0.0,5.55784675864371,-8.28548436,2.1106628,10.73,240.0,140.0,11.7,1.17,759.3,1.241,24.0,1.72,7.1,55.0,1.77,7.87,16.18,30.651,11.8,0.449,80.2,11.2,13.8,349.5,1.83,26,4,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,4,6,0,0,0,0,0,2,4
Co,0.65,208.0,3143.0,1768.0,8.9,58.9332,5.5073180822224,-6.98008657,0.100302575,6.14041474,1.6840372,10.44,0.195,0.0,5.47281349692051,-7.080389145,1.5484712,10.245,3.1,2.7,11.1,1.16,758.0,1.253,70.0,1.67,6.7,58.0,1.75,7.86,17.06,33.5,13.0,0.421,100.0,17.9,16.19,373.3,1.88,27,4,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,3,7,0,0,0,0,0,2,3
Ni,0.69,208.0,3005.0,1726.0,8.9,58.6934,5.48790731596398,-5.43913904,0.107185530000001,5.09579251,0.0645672,10.33,0.0099999999999997,0.0,5.4861358802967,-5.54632457,0.5953947,10.32,100.0,150.0,10.8,1.15,736.7,1.246,111.0,1.62,6.59,61.0,1.75,7.635,18.168,35.17,13.4,0.444,90.7,14.6,17.2,377.5,1.91,28,4,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,2,8,0,0,0,0,0,2,2
Cu,0.73,124.0,2840.0,1356.6,8.96,63.456,5.61763150408129,-3.64288728,0.0377675399999999,4.3787397,0.0,11.08,0.0099999999999997,0.0,5.61594097388469,-3.68065482,0.0,11.07,160.0,150.0,11.8,1.17,745.4,1.278,118.3,1.57,7.1,64.0,1.47,7.726,20.292,36.83,16.5,0.385,401.0,60.7,13.14,300.5,1.9,29,4,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,10,0,0,0,0,1,1,1
Zn,0.74,95.0,1180.0,692.73,7.13,65.39,6.09622627827544,-1.1570915,0.0829084150000001,3.91507328,0.0,14.16,0.199999999999999,0.0,6.06738844744543,-1.239999915,0.0,13.96,160.0,190.0,15.1,1.25,906.4,1.332,0.0,1.53,9.2,69.0,1.32,9.394,17.964,39.722,30.2,0.388,116.0,16.9,7.38,115.3,1.65,30,4,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,10,0,0,0,0,0,2,0
Ga,0.62,11.0,2478.0,302.92,5.91,69.723,6.5965087136422,-2.97839076,0.0338645424999999,3.94985673,0.0,17.94,-0.9175,0.0,6.7070987358881,-3.0122553025,0.0,18.8575,550.0,190.0,19.6,1.26,578.8,1.41,29.0,1.81,11.8,74.0,1.31,5.999,20.51,30.71,19.7,0.371,40.6,1.8,5.59,256.06,1.81,31,4,13,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,10,0,0,5,1,0,2,5
Ge,0.53,115.0,3107.0,1211.5,5.32,72.61,6.70264987630741,-4.27836489,0.337674655,4.38004256,0.0,18.82,-4.185,0.383,7.16661498670743,-4.616039545,0.0,23.005,530.0,190.0,22.2,1.22,762.1,1.37,120.0,1.52,13.6,79.0,1.37,7.899,15.934,34.22,5.7,0.32,59.9,3E-06,31.8,334.3,2.01,32,4,14,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,10,0,0,4,2,0,2,4
As,0.58,39.0,876.0,1090.0,5.78,74.9216,6.72513024719756,-4.21496399,0.435925125,6.47464548,0.0,19.01,-3.165,0.0,7.07936879261063,-4.650889115,0.0,22.175,330.0,400.0,21.5,1.2,947.0,1.39,77.0,1.33,13.1,84.0,1.44,9.81,18.633,28.351,15.4,0.33,50.0,3.8,27.7,32.4,2.16,33,4,15,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,10,0,0,3,3,0,2,3
Se,0.5,20.0,958.0,494.0,4.79,78.96,6.85922886270818,-2.90074111,0.5700508,5.61176057,0.0,20.17,-5.75,0.799,7.45735801428926,-3.47079191,0.0,25.92,220.0,600.0,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89.0,,9.752,21.19,30.82,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,10,0,0,2,4,0,2,2
Br,1.96,,331.85,265.95,3.12,79.904,7.42267212675669,-0.99863179,0.5843935475,2.00721501,0.0,25.56,-3.92,1.457,7.78423288755642,-1.5830253375,0.0,29.48,330.0,690.0,65.1,1.14,1139.9,1.14,324.6,1.12,25.6,95.0,,11.814,21.8,36.0,0.0,0.226,0.122,1E-16,5.286,14.725,2.96,35,4,17,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10,0,0,1,5,0,2,1
Kr,0.0,,120.85,116.0,3.75,83.8,9.70328297844739,-0.98028443,-1.06781967,1.049049325,0.0,57.1,21.04,7.535,8.32495513507371,0.08753524,0.0,36.06,,,44.8,1.89,1350.7,1.12,-39.0,1.03,38.9,101.0,,13.999,24.359,36.95,425.0,0.248,0.00949,0.0,1.638,9.029,0.0,36,4,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,0,6,0,2,0
Rb,1.61,2.0,961.0,312.63,1.532,85.4678,11.2352630081626,-0.96193707,0.001397955,0.09088364,0.0,88.64,-2.0825,0.0,11.3225695574035,-0.963335025,0.0,90.7225,600.0,600.0,93.0,2.16,403.0,2.48,46.89,2.98,55.9,4.0,0.6,4.177,27.28,40.0,91.0,0.363,58.2,47.8,2.34,69.2,0.82,37,5,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Sr,1.26,15.0,1655.0,1042.0,2.54,87.62,9.45988625983837,-1.67793991,0.0048736899999999,1.71056951,0.0,52.91,-1.32,0.0,9.53790946403164,-1.6828136,0.0,54.23,420.0,300.0,56.0,1.91,549.5,2.15,-168.0,2.45,33.7,8.0,0.84,5.695,11.03,43.6,22.5,0.3,3.53,5.0,8.2,136.9,0.95,38,5,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Y,1.02,64.4,3611.0,1795.0,4.47,88.9059,8.04392504902196,-6.34029752,0.124302255,3.23208944,0.0,32.53,0.164999999999999,0.0,8.03030174726957,-6.464599775,0.0,32.365,980.0,260.0,32.9,1.62,616.0,1.81,0.0,2.27,19.8,12.0,1.21,6.38,12.24,20.52,11.3,0.3,17.2,1.8,17.15,393.3,1.22,39,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,9,1,0,0,0,0,0,2,9
Zr,0.84,94.0,4682.0,2128.0,6.51,91.224,7.14003698192156,-8.46727487,0.0786836849999997,4.22805065,0.0,22.75,-0.445,0.0,7.18629078586301,-8.545958555,0.0,23.195,340.0,260.0,23.2,1.45,660.0,1.6,50.0,2.16,14.1,44.0,1.41,6.34,13.13,22.99,5.7,0.278,22.7,2.3,21.0,590.5,1.33,40,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,1,0,0,8,2,0,0,0,0,0,2,8
Nb,0.64,104.0,5015.0,2742.0,8.57,92.9064,6.62579437490161,-10.09332153,0.0,4.90182207,0.0,18.18,0.0,0.0,6.62579437490161,-10.09332153,0.0,18.18,850.0,880.0,18.1,1.34,664.0,1.429,96.0,2.08,10.87,47.0,1.64,6.88,14.32,25.04,7.3,0.265,53.7,6.6,26.9,690.1,1.6,41,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,0,1,0,0,6,4,0,0,0,0,1,1,7
Mo,0.59,322.0,4912.0,2896.0,10.22,95.94,6.30832861684347,-10.84610777,0.0,8.63699786,0.0,15.69,0.0,0.0,6.30832861684347,-10.84610777,0.0,15.69,240.0,530.0,15.5,1.3,684.9,1.362,96.0,2.01,9.4,50.0,1.77,7.099,16.461,27.16,4.8,0.25,138.0,17.3,36.0,590.4,2.16,42,5,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,1,0,0,5,5,0,0,0,0,1,1,6
Tc,0.56,380.0,4538.0,2477.0,11.5,98.0,6.13614657751566,-10.09176138,0.263389815,9.04413786,0.0,14.44,0.154999999999999,0.0,6.11411226938958,-10.355151195,0.0,14.285,,,14.2,1.27,702.0,1.358,70.0,1.95,8.5,53.0,1.81,7.28,15.26,29.54,8.0,0.24,50.6,0.001,23.0,502.0,1.9,43,5,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,1,0,0,5,5,0,0,0,0,0,2,5
Ru,0.62,430.0,4425.0,2610.0,12.37,101.07,6.06013600394769,-8.57093238,0.62370119,8.76028027,5.73E-05,13.91,0.4,0.0,6.00148111583404,-9.19463357,0.0,13.51,320.0,800.0,14.0,1.25,711.0,1.325,110.0,1.89,8.3,56.0,1.83,7.37,16.76,28.47,6.4,0.238,117.0,14.9,25.52,567.77,2.2,44,5,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,3,7,0,0,0,0,1,1,4
Rh,0.67,330.0,3970.0,2236.0,12.41,102.9055,6.06448955142487,-6.90998391,0.34366161,7.36882436,0.3703569,13.94,0.299999999999999,0.0,6.02066945458439,-7.25364552,0.0,13.64,320.0,800.0,11.5,1.25,720.0,1.345,120.0,1.83,8.3,59.0,1.76,7.46,18.08,31.06,8.2,0.242,150.0,23.0,21.76,495.39,2.28,45,5,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,2,8,0,0,0,0,1,1,3
Pd,0.64,127.0,3240.0,1825.0,12.0,106.42,6.14039304709075,-5.0910129,0.0467616700000004,5.18698918,0.0,14.47,0.0600000000000005,0.0,6.13189422232316,-5.13777457,0.0,14.41,320.0,800.0,14.7,1.28,805.0,1.375,60.0,1.79,8.9,62.0,1.67,8.34,19.63,32.93,11.8,0.244,71.8,10.0,16.74,393.3,2.2,46,5,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,1,0,0,0,10,0,0,0,0,0,0,0
