,Organ,Cell Type,Time Point,Source,Cell Count
Muscle Smooth Muscle Cell P1 MC20,Muscle,Smooth Muscle Cell,P1,MC20,93
Muscle Glial Cell P1 MC20,Muscle,Glial Cell,P1,MC20,60
Muscle Brown Adipose Tissue P1 MC20,Muscle,Brown Adipose Tissue,P1,MC20,102
Muscle Dendritic Cell P1 MC20,Muscle,Dendritic Cell,P1,MC20,39
Rib Cartilage Cell P1 MC20,Rib,Cartilage Cell,P1,MC20,2223
Rib Stromal Cell P1 MC20,Rib,Stromal Cell,P1,MC20,608
Rib Neuron P1 MC20,Rib,Neuron,P1,MC20,106
Rib Neutrophil P1 MC20,Rib,Neutrophil,P1,MC20,756
Rib Macrophage P1 MC20,Rib,Macrophage,P1,MC20,285
Rib Granulocyte P1 MC20,Rib,Granulocyte,P1,MC20,124
Rib Osteoblast P1 MC20,Rib,Osteoblast,P1,MC20,73
Rib Muscle Cell P1 MC20,Rib,Muscle Cell,P1,MC20,159
Rib Erythroblast P1 MC20,Rib,Erythroblast,P1,MC20,1594
Rib B Cell P1 MC20,Rib,B Cell,P1,MC20,179
Rib Dividing Cell P1 MC20,Rib,Dividing Cell,P1,MC20,67
Rib Endothelial Cell P1 MC20,Rib,Endothelial Cell,P1,MC20,40
Rib Osteoclast P1 MC20,Rib,Osteoclast,P1,MC20,22
Rib Oligodendrocyte P1 MC20,Rib,Oligodendrocyte,P1,MC20,26
Skin Osteoblast P1 MC20,Skin,Osteoblast,P1,MC20,1262
Skin Adipocyte P1 MC20,Skin,Adipocyte,P1,MC20,368
Skin Stromal Cell P1 MC20,Skin,Stromal Cell,P1,MC20,443
Skin Dividing Cell P1 MC20,Skin,Dividing Cell,P1,MC20,73
Skin Endothelial Cell P1 MC20,Skin,Endothelial Cell,P1,MC20,110
Skin Brown Adipose Tissue P1 MC20,Skin,Brown Adipose Tissue,P1,MC20,331
Skin Macrophage P1 MC20,Skin,Macrophage,P1,MC20,62
Skin Epithelial Cell P1 MC20,Skin,Epithelial Cell,P1,MC20,71
Skin Smooth Muscle Cell P1 MC20,Skin,Smooth Muscle Cell,P1,MC20,60
Skin Muscle Cell P1 MC20,Skin,Muscle Cell,P1,MC20,141
Skin Mast Cell P1 MC20,Skin,Mast Cell,P1,MC20,73
Skin Erythroblast P1 MC20,Skin,Erythroblast,P1,MC20,241
Skin Keratinocyte P1 MC20,Skin,Keratinocyte,P1,MC20,61
Skin Melanocyte P1 MC20,Skin,Melanocyte,P1,MC20,34
Skin Neutrophil P1 MC20,Skin,Neutrophil,P1,MC20,12
Skin Neuron P1 MC20,Skin,Neuron,P1,MC20,36
Skin Lymphatic Vessel Endothelial Cell P1 MC20,Skin,Lymphatic Vessel Endothelial Cell,P1,MC20,14
Ovary Luteal Cells WK6-10 MC20,Ovary,Luteal Cells,WK6-10,MC20,523
Ovary Small Luteal Cell WK6-10 MC20,Ovary,Small Luteal Cell,WK6-10,MC20,558
Ovary Large Luteal Cell WK6-10 MC20,Ovary,Large Luteal Cell,WK6-10,MC20,206
Ovary Thecal Cell WK6-10 MC20,Ovary,Thecal Cell,WK6-10,MC20,473
Ovary Cumulus Cell WK6-10 MC20,Ovary,Cumulus Cell,WK6-10,MC20,1283
Ovary Ovarian Vascular Surface Endothelium Cell WK6-10 MC20,Ovary,Ovarian Vascular Surface Endothelium Cell,WK6-10,MC20,153
Ovary Granulosa Cell WK6-10 MC20,Ovary,Granulosa Cell,WK6-10,MC20,477
Ovary Stroma Cell WK6-10 MC20,Ovary,Stroma Cell,WK6-10,MC20,484
Ovary Ovarian Surface Epithelium Cell WK6-10 MC20,Ovary,Ovarian Surface Epithelium Cell,WK6-10,MC20,84
Ovary Macrophage WK6-10 MC20,Ovary,Macrophage,WK6-10,MC20,87
Ovary Marcrophage WK6-10 MC20,Ovary,Marcrophage,WK6-10,MC20,35
Pancreas Stromal Cell WK6-10 MC20,Pancreas,Stromal Cell,WK6-10,MC20,778
Pancreas Endothelial Cell WK6-10 MC20,Pancreas,Endothelial Cell,WK6-10,MC20,719
Pancreas Dendrtic Cell WK6-10 MC20,Pancreas,Dendrtic Cell,WK6-10,MC20,34
Pancreas Macrophage WK6-10 MC20,Pancreas,Macrophage,WK6-10,MC20,278
Pancreas Beta Cell WK6-10 MC20,Pancreas,Beta Cell,WK6-10,MC20,125
Pancreas Erythroblast WK6-10 MC20,Pancreas,Erythroblast,WK6-10,MC20,817
Pancreas Acinar Cell WK6-10 MC20,Pancreas,Acinar Cell,WK6-10,MC20,260
Pancreas T Cell WK6-10 MC20,Pancreas,T Cell,WK6-10,MC20,39
Pancreas Ductal Cell WK6-10 MC20,Pancreas,Ductal Cell,WK6-10,MC20,381
Pancreas Endocrine Cell WK6-10 MC20,Pancreas,Endocrine Cell,WK6-10,MC20,82
Pancreas B Cell WK6-10 MC20,Pancreas,B Cell,WK6-10,MC20,16
Pancreas Smooth Muscle Cell WK6-10 MC20,Pancreas,Smooth Muscle Cell,WK6-10,MC20,45
Pancreas Dividing Cell WK6-10 MC20,Pancreas,Dividing Cell,WK6-10,MC20,12
Pancreas Glial Cell WK6-10 MC20,Pancreas,Glial Cell,WK6-10,MC20,11
Pancreas Granulocyte WK6-10 MC20,Pancreas,Granulocyte,WK6-10,MC20,13
Peripheral Blood T Cell WK6-10 MC20,Peripheral Blood,T Cell,WK6-10,MC20,1688
Peripheral Blood B Cell WK6-10 MC20,Peripheral Blood,B Cell,WK6-10,MC20,1411
Peripheral Blood NK Cell WK6-10 MC20,Peripheral Blood,NK Cell,WK6-10,MC20,319
Peripheral Blood Neutrophil WK6-10 MC20,Peripheral Blood,Neutrophil,WK6-10,MC20,1892
Peripheral Blood Macrophage WK6-10 MC20,Peripheral Blood,Macrophage,WK6-10,MC20,1180
Peripheral Blood Monocyte WK6-10 MC20,Peripheral Blood,Monocyte,WK6-10,MC20,359
Peripheral Blood Basophil WK6-10 MC20,Peripheral Blood,Basophil,WK6-10,MC20,58
Peripheral Blood Dendritic Cell WK6-10 MC20,Peripheral Blood,Dendritic Cell,WK6-10,MC20,74
Peripheral Blood Erythroblast WK6-10 MC20,Peripheral Blood,Erythroblast,WK6-10,MC20,114
Placenta Erythroblast WK6-10 MC20,Placenta,Erythroblast,WK6-10,MC20,76
Placenta Macrophage WK6-10 MC20,Placenta,Macrophage,WK6-10,MC20,580
Placenta Monocyte WK6-10 MC20,Placenta,Monocyte,WK6-10,MC20,302
Placenta Spiral Artery Trophoblast Giant Cells WK6-10 MC20,Placenta,Spiral Artery Trophoblast Giant Cells,WK6-10,MC20,283
Placenta PE Lineage Cell WK6-10 MC20,Placenta,PE Lineage Cell,WK6-10,MC20,503
Placenta B Cell WK6-10 MC20,Placenta,B Cell,WK6-10,MC20,35
Placenta NK Cell WK6-10 MC20,Placenta,NK Cell,WK6-10,MC20,64
Placenta Stromal Cell WK6-10 MC20,Placenta,Stromal Cell,WK6-10,MC20,206
Placenta Decidual Stromal Cell WK6-10 MC20,Placenta,Decidual Stromal Cell,WK6-10,MC20,103
Placenta Dendritic Cell WK6-10 MC20,Placenta,Dendritic Cell,WK6-10,MC20,223
Placenta Endodermal Cell WK6-10 MC20,Placenta,Endodermal Cell,WK6-10,MC20,80
Placenta Trophoblast Progenitor WK6-10 MC20,Placenta,Trophoblast Progenitor,WK6-10,MC20,68
Placenta Endothelial Cell WK6-10 MC20,Placenta,Endothelial Cell,WK6-10,MC20,153
Placenta Invasive Spongiotrophoblast WK6-10 MC20,Placenta,Invasive Spongiotrophoblast,WK6-10,MC20,671
Placenta HSPC WK6-10 MC20,Placenta,HSPC,WK6-10,MC20,39
Placenta Progenitor Trophoblast WK6-10 MC20,Placenta,Progenitor Trophoblast,WK6-10,MC20,437
Placenta NKT Cell WK6-10 MC20,Placenta,NKT Cell,WK6-10,MC20,33
Placenta Basophil WK6-10 MC20,Placenta,Basophil,WK6-10,MC20,41
Placenta Granulocyte WK6-10 MC20,Placenta,Granulocyte,WK6-10,MC20,103
Placenta Granulocyte Monocyte Progenitors WK6-10 MC20,Placenta,Granulocyte Monocyte Progenitors,WK6-10,MC20,44
Placenta Megakaryocyte Progenitor Cell WK6-10 MC20,Placenta,Megakaryocyte Progenitor Cell,WK6-10,MC20,21
Placenta Spongiotrophoblast WK6-10 MC20,Placenta,Spongiotrophoblast,WK6-10,MC20,258
Placenta Labyrinthine Trophoblast WK6-10 MC20,Placenta,Labyrinthine Trophoblast,WK6-10,MC20,23
Prostate Prostate Gland Cell WK6-10 MC20,Prostate,Prostate Gland Cell,WK6-10,MC20,2223
Prostate Glandular Epithelium WK6-10 MC20,Prostate,Glandular Epithelium,WK6-10,MC20,112
Prostate Epithelial Cell WK6-10 MC20,Prostate,Epithelial Cell,WK6-10,MC20,68
Prostate Dendritic Cell WK6-10 MC20,Prostate,Dendritic Cell,WK6-10,MC20,21
Prostate Stromal Cell WK6-10 MC20,Prostate,Stromal Cell,WK6-10,MC20,48
Prostate T Cell WK6-10 MC20,Prostate,T Cell,WK6-10,MC20,33
Small Intestine T Cell WK6-10 MC20,Small Intestine,T Cell,WK6-10,MC20,1562
Small Intestine Macrophage WK6-10 MC20,Small Intestine,Macrophage,WK6-10,MC20,248
Small Intestine Epithelium Of Small Intestinal Villi WK6-10 MC20,Small Intestine,Epithelium Of Small Intestinal Villi,WK6-10,MC20,1401
Small Intestine Paneth Cell WK6-10 MC20,Small Intestine,Paneth Cell,WK6-10,MC20,255
Small Intestine S Cell WK6-10 MC20,Small Intestine,S Cell,WK6-10,MC20,53
Small Intestine Erythroblast WK6-10 MC20,Small Intestine,Erythroblast,WK6-10,MC20,536
Small Intestine B Cell WK6-10 MC20,Small Intestine,B Cell,WK6-10,MC20,1503
Small Intestine Epithelial Cell WK6-10 MC20,Small Intestine,Epithelial Cell,WK6-10,MC20,671
Small Intestine Columnar Epithelium WK6-10 MC20,Small Intestine,Columnar Epithelium,WK6-10,MC20,267
Small Intestine Mast Cell WK6-10 MC20,Small Intestine,Mast Cell,WK6-10,MC20,9
Small Intestine Stromal Cell WK6-10 MC20,Small Intestine,Stromal Cell,WK6-10,MC20,48
Small Intestine Dendritic Cell WK6-10 MC20,Small Intestine,Dendritic Cell,WK6-10,MC20,52
Small Intestine Dendrtic Cell WK6-10 MC20,Small Intestine,Dendrtic Cell,WK6-10,MC20,79
Spleen Dendritic Cell WK6-10 MC20,Spleen,Dendritic Cell,WK6-10,MC20,85
Spleen T Cell WK6-10 MC20,Spleen,T Cell,WK6-10,MC20,622
Spleen Macrophage WK6-10 MC20,Spleen,Macrophage,WK6-10,MC20,26
Spleen Marginal Zone B Cell WK6-10 MC20,Spleen,Marginal Zone B Cell,WK6-10,MC20,1026
Spleen NK Cell WK6-10 MC20,Spleen,NK Cell,WK6-10,MC20,80
Spleen Erythroblast WK6-10 MC20,Spleen,Erythroblast,WK6-10,MC20,10
Spleen Monocyte WK6-10 MC20,Spleen,Monocyte,WK6-10,MC20,57
Spleen Granulocyte WK6-10 MC20,Spleen,Granulocyte,WK6-10,MC20,35
Spleen Plasma Cell WK6-10 MC20,Spleen,Plasma Cell,WK6-10,MC20,21
Spleen Neutrophil WK6-10 MC20,Spleen,Neutrophil,WK6-10,MC20,8
Stomach Stomach Cell WK6-10 MC20,Stomach,Stomach Cell,WK6-10,MC20,915
Stomach Antral Mucous Cell WK6-10 MC20,Stomach,Antral Mucous Cell,WK6-10,MC20,220
Stomach Epithelial Cell WK6-10 MC20,Stomach,Epithelial Cell,WK6-10,MC20,406
Stomach Dividing Cell WK6-10 MC20,Stomach,Dividing Cell,WK6-10,MC20,160
Stomach Pit Cell WK6-10 MC20,Stomach,Pit Cell,WK6-10,MC20,393
Stomach G Cell WK6-10 MC20,Stomach,G Cell,WK6-10,MC20,51
Stomach Parietal Cell WK6-10 MC20,Stomach,Parietal Cell,WK6-10,MC20,90
Stomach Tuft Cell WK6-10 MC20,Stomach,Tuft Cell,WK6-10,MC20,30
Stomach Gastric Mucosal Cell WK6-10 MC20,Stomach,Gastric Mucosal Cell,WK6-10,MC20,47
Stomach Muscle Cell WK6-10 MC20,Stomach,Muscle Cell,WK6-10,MC20,37
Stomach Dendritic Cell WK6-10 MC20,Stomach,Dendritic Cell,WK6-10,MC20,19
Stomach Macrophage WK6-10 MC20,Stomach,Macrophage,WK6-10,MC20,21
Testis Spermatocyte WK6-10 MC20,Testis,Spermatocyte,WK6-10,MC20,3686
Testis Spermatids WK6-10 MC20,Testis,Spermatids,WK6-10,MC20,2570
Testis Spermatogonia WK6-10 MC20,Testis,Spermatogonia,WK6-10,MC20,1167
Testis Sertoli Cell WK6-10 MC20,Testis,Sertoli Cell,WK6-10,MC20,269
Testis Elongating Spermatid WK6-10 MC20,Testis,Elongating Spermatid,WK6-10,MC20,4326
Testis Pre Sertoli Cell WK6-10 MC20,Testis,Pre Sertoli Cell,WK6-10,MC20,564
Testis Erythroblast WK6-10 MC20,Testis,Erythroblast,WK6-10,MC20,119
Testis Preleptotene Spermatogonia WK6-10 MC20,Testis,Preleptotene Spermatogonia,WK6-10,MC20,637
Testis Macrophage WK6-10 MC20,Testis,Macrophage,WK6-10,MC20,205
Testis Leydig Cell WK6-10 MC20,Testis,Leydig Cell,WK6-10,MC20,462
Thymus T Cell WK6-10 MC20,Thymus,T Cell,WK6-10,MC20,281
Thymus B Cell WK6-10 MC20,Thymus,B Cell,WK6-10,MC20,2261
Thymus DPT Cell WK6-10 MC20,Thymus,DPT Cell,WK6-10,MC20,1012
Thymus AbT Cell WK6-10 MC20,Thymus,AbT Cell,WK6-10,MC20,237
Thymus Proliferating Thymocyte WK6-10 MC20,Thymus,Proliferating Thymocyte,WK6-10,MC20,403
Thymus GdT Cell WK6-10 MC20,Thymus,GdT Cell,WK6-10,MC20,77
Thymus Pre T Cell WK6-10 MC20,Thymus,Pre T Cell,WK6-10,MC20,18
Trophoblast Stem Cell TS WK6-10 MC20,Trophoblast Stem Cell,TS,WK6-10,MC20,18593
Trophoblast Stem Cell MEF WK6-10 MC20,Trophoblast Stem Cell,MEF,WK6-10,MC20,854
Trophoblast Stem Cell TS Dif Epithelial WK6-10 MC20,Trophoblast Stem Cell,TS Dif Epithelial,WK6-10,MC20,42
Uterus NK Cell WK6-10 MC20,Uterus,NK Cell,WK6-10,MC20,186
Uterus Stromal Cell WK6-10 MC20,Uterus,Stromal Cell,WK6-10,MC20,1855
Uterus Macrophage WK6-10 MC20,Uterus,Macrophage,WK6-10,MC20,247
Uterus Glandular Epithelium WK6-10 MC20,Uterus,Glandular Epithelium,WK6-10,MC20,253
Uterus B Cell WK6-10 MC20,Uterus,B Cell,WK6-10,MC20,16
Uterus Dendritic Cell WK6-10 MC20,Uterus,Dendritic Cell,WK6-10,MC20,131
Uterus Monocyte WK6-10 MC20,Uterus,Monocyte,WK6-10,MC20,78
Uterus Granulocyte WK6-10 MC20,Uterus,Granulocyte,WK6-10,MC20,76
Uterus Endothelial Cell WK6-10 MC20,Uterus,Endothelial Cell,WK6-10,MC20,265
Uterus Keratinocyte WK6-10 MC20,Uterus,Keratinocyte,WK6-10,MC20,25
Uterus Muscle Cell WK6-10 MC20,Uterus,Muscle Cell,WK6-10,MC20,564
Uterus Smooth Muscle Cell WK6-10 MC20,Uterus,Smooth Muscle Cell,WK6-10,MC20,43
Kidney Metanephric Mesenchyme E14.5 MC20,Kidney,Metanephric Mesenchyme,E14.5,MC20,3
Kidney Proximal Renal Tubule E14.5 MC20,Kidney,Proximal Renal Tubule,E14.5,MC20,0
Kidney Stromal Cell E14.5 MC20,Kidney,Stromal Cell,E14.5,MC20,3
Kidney Glomerular Epithelial Cell E14.5 MC20,Kidney,Glomerular Epithelial Cell,E14.5,MC20,2
Kidney Macrophage E14.5 MC20,Kidney,Macrophage,E14.5,MC20,0
Kidney Glomerular Endothelial Cell E14.5 MC20,Kidney,Glomerular Endothelial Cell,E14.5,MC20,0
Kidney Epithelial Cell E14.5 MC20,Kidney,Epithelial Cell,E14.5,MC20,0
Kidney Erythroblast E14.5 MC20,Kidney,Erythroblast,E14.5,MC20,0
Kidney Cell In Cell Cycle E14.5 MC20,Kidney,Cell In Cell Cycle,E14.5,MC20,1
Kidney Distal Convoluted Tubule Epithelial Cell E14.5 MC20,Kidney,Distal Convoluted Tubule Epithelial Cell,E14.5,MC20,0
Kidney Adipocyte E14.5 MC20,Kidney,Adipocyte,E14.5,MC20,2
Kidney Myoblast E14.5 MC20,Kidney,Myoblast,E14.5,MC20,0
Kidney Proximal Tubule Cell E14.5 MC20,Kidney,Proximal Tubule Cell,E14.5,MC20,0
Kidney Principal Cells Of Cortical Collecting Duct E14.5 MC20,Kidney,Principal Cells Of Cortical Collecting Duct,E14.5,MC20,0
Kidney Glomerular Podocytes Cell E14.5 MC20,Kidney,Glomerular Podocytes Cell,E14.5,MC20,0
Mammary Gland Luminal Cell WK6-10 MC20,Mammary Gland,Luminal Cell,WK6-10,MC20,331
Mammary Gland Stromal Cell WK6-10 MC20,Mammary Gland,Stromal Cell,WK6-10,MC20,1485
Mammary Gland Muscle Cell WK6-10 MC20,Mammary Gland,Muscle Cell,WK6-10,MC20,413
Mammary Gland Secretory Alveoli Cell WK6-10 MC20,Mammary Gland,Secretory Alveoli Cell,WK6-10,MC20,11800
Mammary Gland Macrophage WK6-10 MC20,Mammary Gland,Macrophage,WK6-10,MC20,1405
Mammary Gland Dendritic Cell WK6-10 MC20,Mammary Gland,Dendritic Cell,WK6-10,MC20,832
Mammary Gland B Cell WK6-10 MC20,Mammary Gland,B Cell,WK6-10,MC20,2222
Mammary Gland Mast Cell WK6-10 MC20,Mammary Gland,Mast Cell,WK6-10,MC20,11
Mammary Gland T Cell WK6-10 MC20,Mammary Gland,T Cell,WK6-10,MC20,2640
Mammary Gland NK Cell WK6-10 MC20,Mammary Gland,NK Cell,WK6-10,MC20,794
Mammary Gland Endothelial Cell WK6-10 MC20,Mammary Gland,Endothelial Cell,WK6-10,MC20,266
Mammary Gland Natural Kill Cell WK6-10 MC20,Mammary Gland,Natural Kill Cell,WK6-10,MC20,204
Mammary Gland Muscel Cell WK6-10 MC20,Mammary Gland,Muscel Cell,WK6-10,MC20,79
ammary Gland ) Muscle Cell( WK6-10 MC20,ammary Gland ),Muscle Cell(,WK6-10,MC20,276
Mammary Gland Adiocyte Cell WK6-10 MC20,Mammary Gland,Adiocyte Cell,WK6-10,MC20,244
Mammary Gland Secretory Alveoli Cell Rora High WK6-10 MC20,Mammary Gland,Secretory Alveoli Cell Rora High,WK6-10,MC20,114
Mammary Gland Pregnancy Myeloid Leukocyte WK6-10 MC20,Mammary Gland Pregnancy,Myeloid Leukocyte,WK6-10,MC20,140
Mammary Gland Pregnancy Dendritic Cell WK6-10 MC20,Mammary Gland Pregnancy,Dendritic Cell,WK6-10,MC20,102
Mammary Gland Pregnancy Ductal Luminal Cell WK6-10 MC20,Mammary Gland Pregnancy,Ductal Luminal Cell,WK6-10,MC20,2109
Mammary Gland Pregnancy T Cell WK6-10 MC20,Mammary Gland Pregnancy,T Cell,WK6-10,MC20,960
Mammary Gland Pregnancy NK Cell WK6-10 MC20,Mammary Gland Pregnancy,NK Cell,WK6-10,MC20,143
Mammary Gland Pregnancy Secretory Alveoli Cell WK6-10 MC20,Mammary Gland Pregnancy,Secretory Alveoli Cell,WK6-10,MC20,234
Mammary Gland Pregnancy Stromal Cell WK6-10 MC20,Mammary Gland Pregnancy,Stromal Cell,WK6-10,MC20,196
Mammary Gland Pregnancy B Cell WK6-10 MC20,Mammary Gland Pregnancy,B Cell,WK6-10,MC20,612
Mammary Gland Pregnancy Endothelial Cell WK6-10 MC20,Mammary Gland Pregnancy,Endothelial Cell,WK6-10,MC20,19
Mammary Gland Pregnancy Macrophage WK6-10 MC20,Mammary Gland Pregnancy,Macrophage,WK6-10,MC20,91
Mammary Gland Pregnancy Luminal Cell WK6-10 MC20,Mammary Gland Pregnancy,Luminal Cell,WK6-10,MC20,16
Mammary Gland Pregnancy Mast Cell WK6-10 MC20,Mammary Gland Pregnancy,Mast Cell,WK6-10,MC20,6
Mammary Gland Pregnancy NK WK6-10 MC20,Mammary Gland Pregnancy,NK,WK6-10,MC20,183
Mammary Gland Pregnancy Myoepithelial Cell WK6-10 MC20,Mammary Gland Pregnancy,Myoepithelial Cell,WK6-10,MC20,94
Mammary Gland Pregnancy Neuron WK6-10 MC20,Mammary Gland Pregnancy,Neuron,WK6-10,MC20,4
Mammary Gland T Cells WK6-10 MC20,Mammary Gland,T Cells,WK6-10,MC20,157
Mammary Gland Dividing Cell WK6-10 MC20,Mammary Gland,Dividing Cell,WK6-10,MC20,265
Mammary Gland Stem And Progenitor Cell WK6-10 MC20,Mammary Gland,Stem And Progenitor Cell,WK6-10,MC20,145
Mammary Gland Luminal Progenitor WK6-10 MC20,Mammary Gland,Luminal Progenitor,WK6-10,MC20,56
Pancreas Acinar Cell P1 MC20,Pancreas,Acinar Cell,P1,MC20,640
Pancreas Epithelial Cell P1 MC20,Pancreas,Epithelial Cell,P1,MC20,11
Pancreas Neutrophil P1 MC20,Pancreas,Neutrophil,P1,MC20,985
Pancreas Neutrophil Progenitor P1 MC20,Pancreas,Neutrophil Progenitor,P1,MC20,131
Pancreas Monocyte P1 MC20,Pancreas,Monocyte,P1,MC20,165
Pancreas Dendritic Cell P1 MC20,Pancreas,Dendritic Cell,P1,MC20,40
Pancreas Macrophage P1 MC20,Pancreas,Macrophage,P1,MC20,110
Pancreas Erythroblast P1 MC20,Pancreas,Erythroblast,P1,MC20,1516
Pancreas B Cell P1 MC20,Pancreas,B Cell,P1,MC20,400
Pancreas Ductal Cell P1 MC20,Pancreas,Ductal Cell,P1,MC20,210
Pancreas Mast Cell P1 MC20,Pancreas,Mast Cell,P1,MC20,41
Pancreas Lymphatic Vessel Endothelial Cell P1 MC20,Pancreas,Lymphatic Vessel Endothelial Cell,P1,MC20,176
Pancreas NKT Cell P1 MC20,Pancreas,NKT Cell,P1,MC20,86
Pancreas Stromal Cell P1 MC20,Pancreas,Stromal Cell,P1,MC20,39
Pancreas Urothelium P1 MC20,Pancreas,Urothelium,P1,MC20,21
Lung AT1 Cell WK6 KO22,Lung,AT1 Cell,WK6,KO22,354
Lung AT2 Cell WK6 KO22,Lung,AT2 Cell,WK6,KO22,2804
Lung Ciliated Cell WK6 KO22,Lung,Ciliated Cell,WK6,KO22,389
Lung Club Cell WK6 KO22,Lung,Club Cell,WK6,KO22,1190
Lung Basal Cell WK6 KO22,Lung,Basal,WK6,KO22,67
